ANV1_A_01_L,ANV1_A_01_R,ANV1_A_02_L,ANV1_A_02_R,ANV1_A_03_L,ANV1_A_03_R,ANV1_A_04_L,ANV1_A_04_R,ANV1_A_05_L,ANV1_A_05_R,ANV1_A_06_L,ANV1_A_06_R,ANV1_A_07_L,ANV1_A_07_R,ANV1_A_08_L,ANV1_A_08_R,ANV1_A_09_L,ANV1_A_09_R,ANV1_A_10_L,ANV1_A_10_R,ANV1_A_11_L,ANV1_A_11_R,ANV1_A_12_L,ANV1_A_12_R
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ANV1_B_01_L,ANV1_B_01_R,ANV1_B_02_L,ANV1_B_02_R,ANV1_B_03_L,ANV1_B_03_R,ANV1_B_04_L,ANV1_B_04_R,ANV1_B_05_L,ANV1_B_05_R,ANV1_B_06_L,ANV1_B_06_R,ANV1_B_07_L,ANV1_B_07_R,ANV1_B_08_L,ANV1_B_08_R,ANV1_B_09_L,ANV1_B_09_R,ANV1_B_10_L,ANV1_B_10_R,ANV1_B_11_L,ANV1_B_11_R,ANV1_B_12_L,ANV1_B_12_R
ANV1_B_01_R,ANV1_B_01_L,ANV1_B_02_R,ANV1_B_02_L,ANV1_B_03_R,ANV1_B_03_L,ANV1_B_04_R,ANV1_B_04_L,ANV1_B_05_R,ANV1_B_05_L,ANV1_B_06_R,ANV1_B_06_L,ANV1_B_07_R,ANV1_B_07_L,ANV1_B_08_R,ANV1_B_08_L,ANV1_B_09_R,ANV1_B_09_L,ANV1_B_10_R,ANV1_B_10_L,ANV1_B_11_R,ANV1_B_11_L,ANV1_B_12_R,ANV1_B_12_L
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ANV1_C_01_L,ANV1_C_01_R,ANV1_C_02_L,ANV1_C_02_R,ANV1_C_03_L,ANV1_C_03_R,ANV1_C_04_L,ANV1_C_04_R,ANV1_C_05_L,ANV1_C_05_R,ANV1_C_06_L,ANV1_C_06_R,ANV1_C_07_L,ANV1_C_07_R,ANV1_C_08_L,ANV1_C_08_R,ANV1_C_09_L,ANV1_C_09_R,ANV1_C_10_L,ANV1_C_10_R,ANV1_C_11_L,ANV1_C_11_R,ANV1_C_12_L,ANV1_C_12_R
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ANV1_D_01_L,ANV1_D_01_R,ANV1_D_02_L,ANV1_D_02_R,ANV1_D_03_L,ANV1_D_03_R,ANV1_D_04_L,ANV1_D_04_R,ANV1_D_05_L,ANV1_D_05_R,ANV1_D_06_L,ANV1_D_06_R,ANV1_D_07_L,ANV1_D_07_R,ANV1_D_08_L,ANV1_D_08_R,ANV1_D_09_L,ANV1_D_09_R,ANV1_D_10_L,ANV1_D_10_R,ANV1_D_11_L,ANV1_D_11_R,ANV1_D_12_L,ANV1_D_12_R
ANV1_D_01_R,ANV1_D_01_L,ANV1_D_02_R,ANV1_D_02_L,ANV1_D_03_R,ANV1_D_03_L,ANV1_D_04_R,ANV1_D_04_L,ANV1_D_05_R,ANV1_D_05_L,ANV1_D_06_R,ANV1_D_06_L,ANV1_D_07_R,ANV1_D_07_L,ANV1_D_08_R,ANV1_D_08_L,ANV1_D_09_R,ANV1_D_09_L,ANV1_D_10_R,ANV1_D_10_L,ANV1_D_11_R,ANV1_D_11_L,ANV1_D_12_R,ANV1_D_12_L
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ANV1_E_01_L,ANV1_E_01_R,ANV1_E_02_L,ANV1_E_02_R,ANV1_E_03_L,ANV1_E_03_R,ANV1_E_04_L,ANV1_E_04_R,ANV1_E_05_L,ANV1_E_05_R,ANV1_E_06_L,ANV1_E_06_R,ANV1_E_07_L,ANV1_E_07_R,ANV1_E_08_L,ANV1_E_08_R,ANV1_E_09_L,ANV1_E_09_R,ANV1_E_10_L,ANV1_E_10_R,ANV1_E_11_L,ANV1_E_11_R,ANV1_E_12_L,ANV1_E_12_R
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ANV1_F_01_L,ANV1_F_01_R,ANV1_F_02_L,ANV1_F_02_R,ANV1_F_03_L,ANV1_F_03_R,ANV1_F_04_L,ANV1_F_04_R,ANV1_F_05_L,ANV1_F_05_R,ANV1_F_06_L,ANV1_F_06_R,ANV1_F_07_L,ANV1_F_07_R,ANV1_F_08_L,ANV1_F_08_R,ANV1_F_09_L,ANV1_F_09_R,ANV1_F_10_L,ANV1_F_10_R,ANV1_F_11_L,ANV1_F_11_R,ANV1_F_12_L,ANV1_F_12_R
ANV1_F_01_R,ANV1_F_01_L,ANV1_F_02_R,ANV1_F_02_L,ANV1_F_03_R,ANV1_F_03_L,ANV1_F_04_R,ANV1_F_04_L,ANV1_F_05_R,ANV1_F_05_L,ANV1_F_06_R,ANV1_F_06_L,ANV1_F_07_R,ANV1_F_07_L,ANV1_F_08_R,ANV1_F_08_L,ANV1_F_09_R,ANV1_F_09_L,ANV1_F_10_R,ANV1_F_10_L,ANV1_F_11_R,ANV1_F_11_L,ANV1_F_12_R,ANV1_F_12_L
