
Plant,Row,Bay,Level,Side,Location_Code
ANV2,A,01,1,L,ANV2_A_01_1_L
ANV2,A,01,1,R,ANV2_A_01_1_R
ANV2,A,01,2,L,ANV2_A_01_2_L
ANV2,A,01,2,R,ANV2_A_01_2_R
ANV2,A,01,3,L,ANV2_A_01_3_L
ANV2,A,01,3,R,ANV2_A_01_3_R
ANV2,A,01,4,L,ANV2_A_01_4_L
ANV2,A,01,4,R,ANV2_A_01_4_R
ANV2,A,01,5,L,ANV2_A_01_5_L
ANV2,A,01,5,R,ANV2_A_01_5_R
ANV2,A,01,6,L,ANV2_A_01_6_L
ANV2,A,01,6,R,ANV2_A_01_6_R
ANV2,A,02,1,L,ANV2_A_02_1_L
ANV2,A,02,1,R,ANV2_A_02_1_R
ANV2,A,02,2,L,ANV2_A_02_2_L
ANV2,A,02,2,R,ANV2_A_02_2_R
ANV2,A,02,3,L,ANV2_A_02_3_L
ANV2,A,02,3,R,ANV2_A_02_3_R
ANV2,A,02,4,L,ANV2_A_02_4_L
ANV2,A,02,4,R,ANV2_A_02_4_R
ANV2,A,02,5,L,ANV2_A_02_5_L
ANV2,A,02,5,R,ANV2_A_02_5_R
ANV2,A,02,6,L,ANV2_A_02_6_L
ANV2,A,02,6,R,ANV2_A_02_6_R
ANV2,A,03,1,L,ANV2_A_03_1_L
ANV2,A,03,1,R,ANV2_A_03_1_R
ANV2,A,03,2,L,ANV2_A_03_2_L
ANV2,A,03,2,R,ANV2_A_03_2_R
ANV2,A,03,3,L,ANV2_A_03_3_L
ANV2,A,03,3,R,ANV2_A_03_3_R
ANV2,A,03,4,L,ANV2_A_03_4_L
ANV2,A,03,4,R,ANV2_A_03_4_R
ANV2,A,03,5,L,ANV2_A_03_5_L
ANV2,A,03,5,R,ANV2_A_03_5_R
ANV2,A,03,6,L,ANV2_A_03_6_L
ANV2,A,03,6,R,ANV2_A_03_6_R
ANV2,A,04,1,L,ANV2_A_04_1_L
ANV2,A,04,1,R,ANV2_A_04_1_R
ANV2,A,04,2,L,ANV2_A_04_2_L
ANV2,A,04,2,R,ANV2_A_04_2_R
ANV2,A,04,3,L,ANV2_A_04_3_L
ANV2,A,04,3,R,ANV2_A_04_3_R
ANV2,A,04,4,L,ANV2_A_04_4_L
ANV2,A,04,4,R,ANV2_A_04_4_R
ANV2,A,04,5,L,ANV2_A_04_5_L
ANV2,A,04,5,R,ANV2_A_04_5_R
ANV2,A,04,6,L,ANV2_A_04_6_L
ANV2,A,04,6,R,ANV2_A_04_6_R
ANV2,A,05,1,L,ANV2_A_05_1_L
ANV2,A,05,1,R,ANV2_A_05_1_R
ANV2,A,05,2,L,ANV2_A_05_2_L
ANV2,A,05,2,R,ANV2_A_05_2_R
ANV2,A,05,3,L,ANV2_A_05_3_L
ANV2,A,05,3,R,ANV2_A_05_3_R
ANV2,A,05,4,L,ANV2_A_05_4_L
ANV2,A,05,4,R,ANV2_A_05_4_R
ANV2,A,05,5,L,ANV2_A_05_5_L
ANV2,A,05,5,R,ANV2_A_05_5_R
ANV2,A,05,6,L,ANV2_A_05_6_L
ANV2,A,05,6,R,ANV2_A_05_6_R
ANV2,A,06,1,L,ANV2_A_06_1_L
ANV2,A,06,1,R,ANV2_A_06_1_R
ANV2,A,06,2,L,ANV2_A_06_2_L
ANV2,A,06,2,R,ANV2_A_06_2_R
ANV2,A,06,3,L,ANV2_A_06_3_L
ANV2,A,06,3,R,ANV2_A_06_3_R
ANV2,A,06,4,L,ANV2_A_06_4_L
ANV2,A,06,4,R,ANV2_A_06_4_R
ANV2,A,06,5,L,ANV2_A_06_5_L
ANV2,A,06,5,R,ANV2_A_06_5_R
ANV2,A,06,6,L,ANV2_A_06_6_L
ANV2,A,06,6,R,ANV2_A_06_6_R
ANV2,A,07,1,L,ANV2_A_07_1_L
ANV2,A,07,1,R,ANV2_A_07_1_R
ANV2,A,07,2,L,ANV2_A_07_2_L
ANV2,A,07,2,R,ANV2_A_07_2_R
ANV2,A,07,3,L,ANV2_A_07_3_L
ANV2,A,07,3,R,ANV2_A_07_3_R
ANV2,A,07,4,L,ANV2_A_07_4_L
ANV2,A,07,4,R,ANV2_A_07_4_R
ANV2,A,07,5,L,ANV2_A_07_5_L
ANV2,A,07,5,R,ANV2_A_07_5_R
ANV2,A,07,6,L,ANV2_A_07_6_L
ANV2,A,07,6,R,ANV2_A_07_6_R
ANV2,A,08,1,L,ANV2_A_08_1_L
ANV2,A,08,1,R,ANV2_A_08_1_R
ANV2,A,08,2,L,ANV2_A_08_2_L
ANV2,A,08,2,R,ANV2_A_08_2_R
ANV2,A,08,3,L,ANV2_A_08_3_L
ANV2,A,08,3,R,ANV2_A_08_3_R
ANV2,A,08,4,L,ANV2_A_08_4_L
ANV2,A,08,4,R,ANV2_A_08_4_R
ANV2,A,08,5,L,ANV2_A_08_5_L
ANV2,A,08,5,R,ANV2_A_08_5_R
ANV2,A,08,6,L,ANV2_A_08_6_L
ANV2,A,08,6,R,ANV2_A_08_6_R
ANV2,A,09,1,L,ANV2_A_09_1_L
ANV2,A,09,1,R,ANV2_A_09_1_R
ANV2,A,09,2,L,ANV2_A_09_2_L
ANV2,A,09,2,R,ANV2_A_09_2_R
ANV2,A,09,3,L,ANV2_A_09_3_L
ANV2,A,09,3,R,ANV2_A_09_3_R
ANV2,A,09,4,L,ANV2_A_09_4_L
ANV2,A,09,4,R,ANV2_A_09_4_R
ANV2,A,09,5,L,ANV2_A_09_5_L
ANV2,A,09,5,R,ANV2_A_09_5_R
ANV2,A,09,6,L,ANV2_A_09_6_L
ANV2,A,09,6,R,ANV2_A_09_6_R
ANV2,A,10,1,L,ANV2_A_10_1_L
ANV2,A,10,1,R,ANV2_A_10_1_R
ANV2,A,10,2,L,ANV2_A_10_2_L
ANV2,A,10,2,R,ANV2_A_10_2_R
ANV2,A,10,3,L,ANV2_A_10_3_L
ANV2,A,10,3,R,ANV2_A_10_3_R
ANV2,A,10,4,L,ANV2_A_10_4_L
ANV2,A,10,4,R,ANV2_A_10_4_R
ANV2,A,10,5,L,ANV2_A_10_5_L
ANV2,A,10,5,R,ANV2_A_10_5_R
ANV2,A,10,6,L,ANV2_A_10_6_L
ANV2,A,10,6,R,ANV2_A_10_6_R
ANV2,A,11,1,L,ANV2_A_11_1_L
ANV2,A,11,1,R,ANV2_A_11_1_R
ANV2,A,11,2,L,ANV2_A_11_2_L
ANV2,A,11,2,R,ANV2_A_11_2_R
ANV2,A,11,3,L,ANV2_A_11_3_L
ANV2,A,11,3,R,ANV2_A_11_3_R
ANV2,A,11,4,L,ANV2_A_11_4_L
ANV2,A,11,4,R,ANV2_A_11_4_R
