All Area,Zone,Log,current level,Current Side,Plant,Row,Max Bay,Bay,Level,StartSide,Side,Location_Code
A011L,A,01,1,L,PS1,A,12,12,1,R,L,PS1_A_12_1_L
A011R,A,01,1,R,PS1,A,12,12,1,R,R,PS1_A_12_1_R
A012L,A,01,2,L,PS1,A,12,12,2,R,L,PS1_A_12_2_L
A012R,A,01,2,R,PS1,A,12,12,2,R,R,PS1_A_12_2_R
A013L,A,01,3,L,PS1,A,12,12,3,R,L,PS1_A_12_3_L
A013R,A,01,3,R,PS1,A,12,12,3,R,R,PS1_A_12_3_R
A014L,A,01,4,L,PS1,A,12,12,4,R,L,PS1_A_12_4_L
A014R,A,01,4,R,PS1,A,12,12,4,R,R,PS1_A_12_4_R
A015L,A,01,5,L,PS1,A,12,12,5,R,L,PS1_A_12_5_L
A015R,A,01,5,R,PS1,A,12,12,5,R,R,PS1_A_12_5_R
A016L,A,01,6,L,PS1,A,12,12,6,R,L,PS1_A_12_6_L
A016R,A,01,6,R,PS1,A,12,12,6,R,R,PS1_A_12_6_R
A021L,A,02,1,L,PS1,A,12,11,1,R,L,PS1_A_11_1_L
A021R,A,02,1,R,PS1,A,12,11,1,R,R,PS1_A_11_1_R
A022L,A,02,2,L,PS1,A,12,11,2,R,L,PS1_A_11_2_L
A022R,A,02,2,R,PS1,A,12,11,2,R,R,PS1_A_11_2_R
A023L,A,02,3,L,PS1,A,12,11,3,R,L,PS1_A_11_3_L
A023R,A,02,3,R,PS1,A,12,11,3,R,R,PS1_A_11_3_R
A024L,A,02,4,L,PS1,A,12,11,4,R,L,PS1_A_11_4_L
A024R,A,02,4,R,PS1,A,12,11,4,R,R,PS1_A_11_4_R
A025L,A,02,5,L,PS1,A,12,11,5,R,L,PS1_A_11_5_L
A025R,A,02,5,R,PS1,A,12,11,5,R,R,PS1_A_11_5_R
A026L,A,02,6,L,PS1,A,12,11,6,R,L,PS1_A_11_6_L
A026R,A,02,6,R,PS1,A,12,11,6,R,R,PS1_A_11_6_R
A031L,A,03,1,L,PS1,A,12,10,1,R,L,PS1_A_10_1_L
A031R,A,03,1,R,PS1,A,12,10,1,R,R,PS1_A_10_1_R
A032L,A,03,2,L,PS1,A,12,10,2,R,L,PS1_A_10_2_L
A032R,A,03,2,R,PS1,A,12,10,2,R,R,PS1_A_10_2_R
A033L,A,03,3,L,PS1,A,12,10,3,R,L,PS1_A_10_3_L
A033R,A,03,3,R,PS1,A,12,10,3,R,R,PS1_A_10_3_R
A034L,A,03,4,L,PS1,A,12,10,4,R,L,PS1_A_10_4_L
A034R,A,03,4,R,PS1,A,12,10,4,R,R,PS1_A_10_4_R
A035L,A,03,5,L,PS1,A,12,10,5,R,L,PS1_A_10_5_L
A035R,A,03,5,R,PS1,A,12,10,5,R,R,PS1_A_10_5_R
A036L,A,03,6,L,PS1,A,12,10,6,R,L,PS1_A_10_6_L
A036R,A,03,6,R,PS1,A,12,10,6,R,R,PS1_A_10_6_R
A041L,A,04,1,L,PS1,A,12,09,1,R,L,PS1_A_09_1_L
A041R,A,04,1,R,PS1,A,12,09,1,R,R,PS1_A_09_1_R
A042L,A,04,2,L,PS1,A,12,09,2,R,L,PS1_A_09_2_L
A042R,A,04,2,R,PS1,A,12,09,2,R,R,PS1_A_09_2_R
A043L,A,04,3,L,PS1,A,12,09,3,R,L,PS1_A_09_3_L
A043R,A,04,3,R,PS1,A,12,09,3,R,R,PS1_A_09_3_R
A044L,A,04,4,L,PS1,A,12,09,4,R,L,PS1_A_09_4_L
A044R,A,04,4,R,PS1,A,12,09,4,R,R,PS1_A_09_4_R
A045L,A,04,5,L,PS1,A,12,09,5,R,L,PS1_A_09_5_L
A045R,A,04,5,R,PS1,A,12,09,5,R,R,PS1_A_09_5_R
A046L,A,04,6,L,PS1,A,12,09,6,R,L,PS1_A_09_6_L
A046R,A,04,6,R,PS1,A,12,09,6,R,R,PS1_A_09_6_R
A051L,A,05,1,L,PS1,A,12,08,1,R,L,PS1_A_08_1_L
A051R,A,05,1,R,PS1,A,12,08,1,R,R,PS1_A_08_1_R
A052L,A,05,2,L,PS1,A,12,08,2,R,L,PS1_A_08_2_L
A052R,A,05,2,R,PS1,A,12,08,2,R,R,PS1_A_08_2_R
A053L,A,05,3,L,PS1,A,12,08,3,R,L,PS1_A_08_3_L
A053R,A,05,3,R,PS1,A,12,08,3,R,R,PS1_A_08_3_R
A054L,A,05,4,L,PS1,A,12,08,4,R,L,PS1_A_08_4_L
A054R,A,05,4,R,PS1,A,12,08,4,R,R,PS1_A_08_4_R
A055L,A,05,5,L,PS1,A,12,08,5,R,L,PS1_A_08_5_L
A055R,A,05,5,R,PS1,A,12,08,5,R,R,PS1_A_08_5_R
A056L,A,05,6,L,PS1,A,12,08,6,R,L,PS1_A_08_6_L
A056R,A,05,6,R,PS1,A,12,08,6,R,R,PS1_A_08_6_R
A061L,A,06,1,L,PS1,A,12,07,1,R,L,PS1_A_07_1_L
A061R,A,06,1,R,PS1,A,12,07,1,R,R,PS1_A_07_1_R
A062L,A,06,2,L,PS1,A,12,07,2,R,L,PS1_A_07_2_L
A062R,A,06,2,R,PS1,A,12,07,2,R,R,PS1_A_07_2_R
A063L,A,06,3,L,PS1,A,12,07,3,R,L,PS1_A_07_3_L
A063R,A,06,3,R,PS1,A,12,07,3,R,R,PS1_A_07_3_R
A064L,A,06,4,L,PS1,A,12,07,4,R,L,PS1_A_07_4_L
A064R,A,06,4,R,PS1,A,12,07,4,R,R,PS1_A_07_4_R
A065L,A,06,5,L,PS1,A,12,07,5,R,L,PS1_A_07_5_L
A065R,A,06,5,R,PS1,A,12,07,5,R,R,PS1_A_07_5_R
A066L,A,06,6,L,PS1,A,12,07,6,R,L,PS1_A_07_6_L
A066R,A,06,6,R,PS1,A,12,07,6,R,R,PS1_A_07_6_R
A071L,A,07,1,L,PS1,A,12,06,1,R,L,PS1_A_06_1_L
A071R,A,07,1,R,PS1,A,12,06,1,R,R,PS1_A_06_1_R
A072L,A,07,2,L,PS1,A,12,06,2,R,L,PS1_A_06_2_L
A072R,A,07,2,R,PS1,A,12,06,2,R,R,PS1_A_06_2_R
A073L,A,07,3,L,PS1,A,12,06,3,R,L,PS1_A_06_3_L
A073R,A,07,3,R,PS1,A,12,06,3,R,R,PS1_A_06_3_R
A074L,A,07,4,L,PS1,A,12,06,4,R,L,PS1_A_06_4_L
A074R,A,07,4,R,PS1,A,12,06,4,R,R,PS1_A_06_4_R
A075L,A,07,5,L,PS1,A,12,06,5,R,L,PS1_A_06_5_L
A075R,A,07,5,R,PS1,A,12,06,5,R,R,PS1_A_06_5_R
A076L,A,07,6,L,PS1,A,12,06,6,R,L,PS1_A_06_6_L
A076R,A,07,6,R,PS1,A,12,06,6,R,R,PS1_A_06_6_R
A081L,A,08,1,L,PS1,A,12,05,1,R,L,PS1_A_05_1_L
A081R,A,08,1,R,PS1,A,12,05,1,R,R,PS1_A_05_1_R
A082L,A,08,2,L,PS1,A,12,05,2,R,L,PS1_A_05_2_L
A082R,A,08,2,R,PS1,A,12,05,2,R,R,PS1_A_05_2_R
A083L,A,08,3,L,PS1,A,12,05,3,R,L,PS1_A_05_3_L
A083R,A,08,3,R,PS1,A,12,05,3,R,R,PS1_A_05_3_R
A084L,A,08,4,L,PS1,A,12,05,4,R,L,PS1_A_05_4_L
A084R,A,08,4,R,PS1,A,12,05,4,R,R,PS1_A_05_4_R
A085L,A,08,5,L,PS1,A,12,05,5,R,L,PS1_A_05_5_L
A085R,A,08,5,R,PS1,A,12,05,5,R,R,PS1_A_05_5_R
A086L,A,08,6,L,PS1,A,12,05,6,R,L,PS1_A_05_6_L
A086R,A,08,6,R,PS1,A,12,05,6,R,R,PS1_A_05_6_R
A091L,A,09,1,L,PS1,A,12,04,1,R,L,PS1_A_04_1_L
A091R,A,09,1,R,PS1,A,12,04,1,R,R,PS1_A_04_1_R
A092L,A,09,2,L,PS1,A,12,04,2,R,L,PS1_A_04_2_L
A092R,A,09,2,R,PS1,A,12,04,2,R,R,PS1_A_04_2_R
A093L,A,09,3,L,PS1,A,12,04,3,R,L,PS1_A_04_3_L
A093R,A,09,3,R,PS1,A,12,04,3,R,R,PS1_A_04_3_R
A094L,A,09,4,L,PS1,A,12,04,4,R,L,PS1_A_04_4_L
A094R,A,09,4,R,PS1,A,12,04,4,R,R,PS1_A_04_4_R
A095L,A,09,5,L,PS1,A,12,04,5,R,L,PS1_A_04_5_L
A095R,A,09,5,R,PS1,A,12,04,5,R,R,PS1_A_04_5_R
A096L,A,09,6,L,PS1,A,12,04,6,R,L,PS1_A_04_6_L
A096R,A,09,6,R,PS1,A,12,04,6,R,R,PS1_A_04_6_R
A101L,A,10,1,L,PS1,A,12,03,1,R,L,PS1_A_03_1_L
A101R,A,10,1,R,PS1,A,12,03,1,R,R,PS1_A_03_1_R
A102L,A,10,2,L,PS1,A,12,03,2,R,L,PS1_A_03_2_L
A102R,A,10,2,R,PS1,A,12,03,2,R,R,PS1_A_03_2_R
A103L,A,10,3,L,PS1,A,12,03,3,R,L,PS1_A_03_3_L
A103R,A,10,3,R,PS1,A,12,03,3,R,R,PS1_A_03_3_R
A104L,A,10,4,L,PS1,A,12,03,4,R,L,PS1_A_03_4_L
A104R,A,10,4,R,PS1,A,12,03,4,R,R,PS1_A_03_4_R
A105L,A,10,5,L,PS1,A,12,03,5,R,L,PS1_A_03_5_L
A105R,A,10,5,R,PS1,A,12,03,5,R,R,PS1_A_03_5_R
A106L,A,10,6,L,PS1,A,12,03,6,R,L,PS1_A_03_6_L
A106R,A,10,6,R,PS1,A,12,03,6,R,R,PS1_A_03_6_R
A111L,A,11,1,L,PS1,A,12,02,1,R,L,PS1_A_02_1_L
A111R,A,11,1,R,PS1,A,12,02,1,R,R,PS1_A_02_1_R
A112L,A,11,2,L,PS1,A,12,02,2,R,L,PS1_A_02_2_L
A112R,A,11,2,R,PS1,A,12,02,2,R,R,PS1_A_02_2_R
A113L,A,11,3,L,PS1,A,12,02,3,R,L,PS1_A_02_3_L
A113R,A,11,3,R,PS1,A,12,02,3,R,R,PS1_A_02_3_R
A114L,A,11,4,L,PS1,A,12,02,4,R,L,PS1_A_02_4_L
A114R,A,11,4,R,PS1,A,12,02,4,R,R,PS1_A_02_4_R
A115L,A,11,5,L,PS1,A,12,02,5,R,L,PS1_A_02_5_L
A115R,A,11,5,R,PS1,A,12,02,5,R,R,PS1_A_02_5_R
A116L,A,11,6,L,PS1,A,12,02,6,R,L,PS1_A_02_6_L
A116R,A,11,6,R,PS1,A,12,02,6,R,R,PS1_A_02_6_R
A121L,A,12,1,L,PS1,A,12,01,1,R,L,PS1_A_01_1_L
A121R,A,12,1,R,PS1,A,12,01,1,R,R,PS1_A_01_1_R
A122L,A,12,2,L,PS1,A,12,01,2,R,L,PS1_A_01_2_L
A122R,A,12,2,R,PS1,A,12,01,2,R,R,PS1_A_01_2_R
A123L,A,12,3,L,PS1,A,12,01,3,R,L,PS1_A_01_3_L
A123R,A,12,3,R,PS1,A,12,01,3,R,R,PS1_A_01_3_R
A124L,A,12,4,L,PS1,A,12,01,4,R,L,PS1_A_01_4_L
A124R,A,12,4,R,PS1,A,12,01,4,R,R,PS1_A_01_4_R
A125L,A,12,5,L,PS1,A,12,01,5,R,L,PS1_A_01_5_L
A125R,A,12,5,R,PS1,A,12,01,5,R,R,PS1_A_01_5_R
A126L,A,12,6,L,PS1,A,12,01,6,R,L,PS1_A_01_6_L
A126R,A,12,6,R,PS1,A,12,01,6,R,R,PS1_A_01_6_R
B011L,B,01,1,L,PS1,B,12,12,1,L,L,PS1_B_12_1_L
B011R,B,01,1,R,PS1,B,12,12,1,L,R,PS1_B_12_1_R
B012L,B,01,2,L,PS1,B,12,12,2,L,L,PS1_B_12_2_L
B012R,B,01,2,R,PS1,B,12,12,2,L,R,PS1_B_12_2_R
B013L,B,01,3,L,PS1,B,12,12,3,L,L,PS1_B_12_3_L
B013R,B,01,3,R,PS1,B,12,12,3,L,R,PS1_B_12_3_R
B014L,B,01,4,L,PS1,B,12,12,4,L,L,PS1_B_12_4_L
B014R,B,01,4,R,PS1,B,12,12,4,L,R,PS1_B_12_4_R
B015L,B,01,5,L,PS1,B,12,12,5,L,L,PS1_B_12_5_L
B015R,B,01,5,R,PS1,B,12,12,5,L,R,PS1_B_12_5_R
B016L,B,01,6,L,PS1,B,12,12,6,L,L,PS1_B_12_6_L
B016R,B,01,6,R,PS1,B,12,12,6,L,R,PS1_B_12_6_R
B021L,B,02,1,L,PS1,B,12,11,1,L,L,PS1_B_11_1_L
B021R,B,02,1,R,PS1,B,12,11,1,L,R,PS1_B_11_1_R
B022L,B,02,2,L,PS1,B,12,11,2,L,L,PS1_B_11_2_L
B022R,B,02,2,R,PS1,B,12,11,2,L,R,PS1_B_11_2_R
B023L,B,02,3,L,PS1,B,12,11,3,L,L,PS1_B_11_3_L
B023R,B,02,3,R,PS1,B,12,11,3,L,R,PS1_B_11_3_R
B024L,B,02,4,L,PS1,B,12,11,4,L,L,PS1_B_11_4_L
B024R,B,02,4,R,PS1,B,12,11,4,L,R,PS1_B_11_4_R
B025L,B,02,5,L,PS1,B,12,11,5,L,L,PS1_B_11_5_L
B025R,B,02,5,R,PS1,B,12,11,5,L,R,PS1_B_11_5_R
B026L,B,02,6,L,PS1,B,12,11,6,L,L,PS1_B_11_6_L
B026R,B,02,6,R,PS1,B,12,11,6,L,R,PS1_B_11_6_R
B031L,B,03,1,L,PS1,B,12,10,1,L,L,PS1_B_10_1_L
B031R,B,03,1,R,PS1,B,12,10,1,L,R,PS1_B_10_1_R
B032L,B,03,2,L,PS1,B,12,10,2,L,L,PS1_B_10_2_L
B032R,B,03,2,R,PS1,B,12,10,2,L,R,PS1_B_10_2_R
B033L,B,03,3,L,PS1,B,12,10,3,L,L,PS1_B_10_3_L
B033R,B,03,3,R,PS1,B,12,10,3,L,R,PS1_B_10_3_R
B034L,B,03,4,L,PS1,B,12,10,4,L,L,PS1_B_10_4_L
B034R,B,03,4,R,PS1,B,12,10,4,L,R,PS1_B_10_4_R
B035L,B,03,5,L,PS1,B,12,10,5,L,L,PS1_B_10_5_L
B035R,B,03,5,R,PS1,B,12,10,5,L,R,PS1_B_10_5_R
B036L,B,03,6,L,PS1,B,12,10,6,L,L,PS1_B_10_6_L
B036R,B,03,6,R,PS1,B,12,10,6,L,R,PS1_B_10_6_R
B041L,B,04,1,L,PS1,B,12,09,1,L,L,PS1_B_09_1_L
B041R,B,04,1,R,PS1,B,12,09,1,L,R,PS1_B_09_1_R
B042L,B,04,2,L,PS1,B,12,09,2,L,L,PS1_B_09_2_L
B042R,B,04,2,R,PS1,B,12,09,2,L,R,PS1_B_09_2_R
B043L,B,04,3,L,PS1,B,12,09,3,L,L,PS1_B_09_3_L
B043R,B,04,3,R,PS1,B,12,09,3,L,R,PS1_B_09_3_R
B044L,B,04,4,L,PS1,B,12,09,4,L,L,PS1_B_09_4_L
B044R,B,04,4,R,PS1,B,12,09,4,L,R,PS1_B_09_4_R
B045L,B,04,5,L,PS1,B,12,09,5,L,L,PS1_B_09_5_L
B045R,B,04,5,R,PS1,B,12,09,5,L,R,PS1_B_09_5_R
B046L,B,04,6,L,PS1,B,12,09,6,L,L,PS1_B_09_6_L
B046R,B,04,6,R,PS1,B,12,09,6,L,R,PS1_B_09_6_R
B051L,B,05,1,L,PS1,B,12,08,1,L,L,PS1_B_08_1_L
B051R,B,05,1,R,PS1,B,12,08,1,L,R,PS1_B_08_1_R
B052L,B,05,2,L,PS1,B,12,08,2,L,L,PS1_B_08_2_L
B052R,B,05,2,R,PS1,B,12,08,2,L,R,PS1_B_08_2_R
B053L,B,05,3,L,PS1,B,12,08,3,L,L,PS1_B_08_3_L
B053R,B,05,3,R,PS1,B,12,08,3,L,R,PS1_B_08_3_R
